私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
タバコをやめたその日から、彼はさっぱりした気分になりました。;たばこ を やめた その ひ から、 かれ は さっぱり した きぶん に なりました。;From the day he quit smoking, he felt refreshed and relieved.;さっぱり	サッパリ	going cold turkey	resultant state	habits
彼は問題を解決して、すっきりした気分です。;かれ は もんだい を かいけつ して、すっきり した きぶん です。;He feels completely refreshed after solving the problem.;さっぱり	サッパリ	"completely, entirely"	resultant state
彼女の性格はサバサバしていて、いつもポジティブです。;かのじょ の せいかく は さばさば していて、いつも ぽじてぃぶ です。;Her personality is clean and refreshed, and she is always positive.;さばさば	サバサバ	clean and refreshed	feelings
彼女はいつもさばさばしていて、付き合いやすい。;かのじょ は いつも さばさば していて、つきあいやすい。;She is always open and frank, so she's easy to get along with.;さばさば	サバサバ	"open, frank (no negative connotation)"	personal traits
子供たちはプールで水をざぶざぶと音を立てて遊んでいた。;こどもたちは プールで みずを ざぶざぶと おとを たてて あそんでいた。;The children were splashing around loudly in the pool.;ざぶざぶ	ザブザブ	splashing	action	splashing
子供たちがプールでざぶざぶ遊んでいます。;こどもたち が プール で ざぶざぶ あそんでいます。;The children are splashing around in the pool.;ざぶざぶ	ザブザブ	splashing	onomatopoeia	water
彼は湖にざぶんと飛び込んだ。;かれ は みずうみ に ざぶん と とびこんだ。;He plunged into the lake with a splash.;ざぶん	ザブン	plunging into water with a splash	action	plunging
鯉 が 池 に ざぶん と 飛び込んだ。;こい が いけ に ざぶん と とびこんだ。;The carp plunged into the pond with a splash.;ざぶん	ザブン	plunging	action	splashing
彼は水へと飛び込むとざぶんと大きな音がしました。;かれ は みず へ と とびこむ と ざぶん と おおきな おと が しました。;He jumped into the water, making a big splash with a 'zabun' sound.;ざぶん	ザブン	plunging	onomatopoeia	water
彼女は部屋でさめざめと泣いていた。;かのじょ は へや で さめざめ と ないて いた。;She was weeping bitterly in her room.;さめさめ	サメサメ	"weep, cry bitterly"	emotions	crying
風が木々をさやさやと揺らしていた。;かぜ が きぎ を さやさや と ゆらしていた。;The wind was gently rustling the trees.;さやさや	サヤサヤ	rumbling	onomatopoeia
夏の風が髪をさらさらと揺らす。;なつ の かぜ が かみ を さらさら と ゆらす。;The summer breeze gently tugs at my hair, giving a refreshing sensation.;さらさら	サラサラ	something that gives a fresh feeling	feelings
川の水がさらさら流れている。;かわ の みず が さらさら ながれて いる。;The river's water is trickling gently.;さらさら	サラサラ	trickling	onomatopoeia	water
水の流れがさらさらと聞こえる。;みず の ながれ が さらさら と きこえる。;The flow of the water sounds like a gentle murmur.;さらさら	サラサラ	rumbling	onomatopoeia
川の水がさらさら流れている。;かわ の みず が さらさら ながれて いる。;The river water is trickling.;さらさら	サラサラ	trickling	onomatopoeia
彼女の髪は風にさらさらと揺れた。;かのじょ の かみ は かぜ に さらさら と ゆれた。;Her hair swayed smoothly in the wind.;さらさら	サラサラ	"dry, lacking moisture (pleasant)"	physical state	dry
彼女のスピーチは、さらさらと流れるように続きました。;かのじょ の すぴーち は、さらさら と ながれる よう に つづきました。;Her speech continued flowing smoothly like silk.;さらさら	サラサラ	eloquent	speech
山の小川の水はさらさらと流れている。;やま の おがわ の みず は さらさら と ながれている。;The water in the mountain brook is flowing softly.;さらさら	サラサラ	flowing softly	state	liquids
この山の雪はさらさらしたパウダースノーで、スキーがとても楽しいです。;この やま の ゆき は さらさら した パウダー スノー で、スキー が とても たのしい です。;The snow on this mountain is powdery snow, making skiing very enjoyable.;さらさら	サラサラ	powdery	weather	snow
彼女の文章は、さらさらと流れるようにわかりやすい。;かのじょ の ぶんしょう は、さらさら と ながれる ように わかりやすい。;Her writing is eloquent and flows smoothly, making it easy to understand.;さらさら	サラサラ	eloquent	writing
この紙はざらざらしているので、書くのが難しい。;この かみ は ざらざら して いる ので、かく の が むずかしい。;This paper is rough and coarse, so it's difficult to write on it.;ざらざら	ザラザラ	a rough and coarse feeling	feelings
壁のペンキがざらざらと剥がれ落ちる。;かべ の ぺんき が ざらざら と はがれ おちる。;The paint on the wall crumbles off in a granular way.;ざらざら	ザラザラ	crumbling off (granular)	motions	desintegrate
この砂はざらざらしています。;この すな は ざらざらして います。;This sand feels rough.;ざらざら	ザラザラ	"rough, coarse (to the touch)"	physical state	rough
このビーチの砂は足で踏むとざらざらしている。;この びーち の すな は あし で ふむ と ざらざら して いる。;The sand on this beach feels gritty when you walk on it.;ざらざら	ザラザラ	"coarse, sandy, gritty"	texture
彼のプレゼンテーションはさらっとしていて、わかりやすかった。;かれ の ぷれぜんてーしょん は さらっと していて、わかりやすかった。;His presentation was refreshed and sharp, making it easy to understand.;さらっ	サラッ	refreshed and sharp	feelings
空気がさらっとしていて、快適な散歩ができました。;くうき が さらっと していて 、かいてき な さんぽ が できました 。;The air was crisply dry, allowing for a comfortable walk.;さらっ	サラッ	crisply dry	physical state	dry
このシルクのシャツは触るとさらっとしている。;この しるく の しゃつ は さわる と さらっと して いる。;This silk shirt feels dry and thin to the touch.;さらっ	サラッ	"dry, thin"	texture
今日は天気がサラッとしていて、散歩にぴったりの一日です。;きょう は てんき が さらっ と して いて、さんぽ に ぴったり の いちにち です。;Today the weather is clear and crisp, making it a perfect day for a walk.;さらっ	サラッ	"fresh,dry, crisp"	weather	clear
