私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
人々が駅のホームにぞろりと並んでいた。;ひとびと が えき の ほーむ に ぞろり と ならんでいた。;People were lined up in a row on the train station platform.;ぞろり	ゾロリ	being lined up	action
彼女はそろりそろりと庭を歩き始めた。;かのじょ は そろり そろり と にわ を あるき はじめた。;She started walking slowly and leisurely through the garden.;そろりそろり	ソロリソロリ	"slowly, leisurely"	performing an action	walking
彼女は試験の前にそわそわしていた。;かのじょ は しけん の まえ に そわそわ して いた。;She was restless before the exam.;そわそわ	ソワソワ	"restless, nervously waiting for an event to occur"	mood	nervous
彼女の突然の発言に、私はただ「だーっ」となってしまった。;かのじょ の とつぜん の はつげん に、わたし は ただ「だーっ」と なってしまった。;Her sudden statement left me just in a state of 'Daa!'.;だーっ	ダーッ	at a total loss for words	mental state
ライオンが獲物を見つけた瞬間、だーっと走り出した。;らいおん が えもの を みつけた しゅんかん、 だーっと はしりだした。;The moment the lion spotted its prey, it charged forward.;だーっ	ダーッ	"to charge, run at"	performing an action
だーんと大きな音が響いた。;だーん と おおきな おと が ひびいた。;Kapow! A loud sound echoed.;だーん	ダーン	"""kapow!"""	onomatopoeia
彼は暑さのせいで汗をだくだくとかいていた。;かれ は あつさ の せい で あせ を だくだく と かいて いた。;He was sweating profusely because of the heat.;だくだく	ダクダク	sweating profusely	body function
汗がだくだくと流れている。;あせ が だく だく と ながれている。;Sweat is gushing down.;だくだく	ダクダク	"gushing, running off"	state	liquids
彼はたけぱきと仕事を終えました。;かれ は たけぱき と しごと を おえました。;He finished the work promptly and speedily.;たけぱき	タケパキ	"prompty, speedily"	action
彼の速い言葉にたじたじになった。;かれ の はやい ことば に たじたじ に なった。;I was left staggering by his fast words.;たじたじ	タジタジ	staggering	performing an action
雨の音が窓辺でたったっと聞こえた。;あめ の おと が まどべ で たったっ と きこえた。;I heard the sound of rain pit-a-patting at the window.;たったっ	タッタッ	pit-a-patting	onomatopoeia
彼はたったっ歩いて行った。;かれ は たったっ あるいて いった。;He walked quickly away.;たったっ	タッタッ	"quickly, vigorously"	performing an action	walking
彼女はたったっと階段を上がった。;かのじょ は たったっと かいだん を あがった。;She energetically walked up the stairs.;たったっ	タッタッ	walk forward with vigor	performing an action
彼はドアをだっだっと押した。;かれ は ドア を だっだっと おした。;He pushed the door forward with force.;だっだっ	ダッダッ	push forward with force	performing an action
彼女は時間をたっぷり持っています。;かのじょ は じかん を たっぷり もちています。;She has plenty of time.;たっぷり	タップリ	plenty	quantity
彼の服はだぶだぶで、彼に合っていなかった。;かれ の ふく は だぶだぶ で、かれ に あって いなかった。;His clothes were hanging loose and didn't fit him.;だぶだぶ	ダブダブ	hanging loose	form
彼のズボンは彼にとって大きすぎて、だぶだぶだ。;かれ の ずぼん は かれ に とって おおきすぎて、だぶだぶ だ。;His trousers are too big for him and are baggy.;だぶだぶ	ダブダブ	in excess	quantity
彼の服がだぶだぶすぎて、すぐに脱げてしまいそうだ。;かれ の ふく が だぶだぶ すぎて、すぐ に ぬげて しまいそう だ。;His clothes are so baggy that they look like they might fall off at any moment.;だぶだぶ	ダブダブ	hanging loose	size
彼のシャツはだぶだぶなので、服を買い替えないといけません。;かれ の しゃつ は だぶだぶ なので、ふく を かいかえない と いけません。;His shirt is too loose, so he needs to buy new clothes.;だぶだぶ	ダブダブ	overweight and flabby	the body
汗がたらたらと流れました。;あせ が たらたら と ながれ ました。;Sweat dripped continuously.;たらたら	タラタラ	to continuously drip (sweat)	body function
彼はいつもタラタラと文句を言っている。;かれ は いつも たらたら と もんく を いっている。;He is always complaining endlessly.;たらたら	タラタラ	full of complaint	speech
彼はいつも会議でタラタラとした話を続ける。;かれ は いつも かいぎ で たらたら と した はなし を つづける。;He always goes on and on with his incessant talk at meetings.;たらたら	タラタラ	"to be full of it, to incessently be [boastful, flattering, evasive, etc.]"	speech
水が蛇口からたらたら流れています。;みず が じゃぐち から たらたら ながれています。;Water is dripping from the tap.;たらたら	タラタラ	dripping	state	liquids
彼はだらだらして仕事を終わらせません。;かれ は だらだら して しごと を おわらせません。;He is dragging on without end and doesn’t finish his work.;だらだら	ダラダラ	dragging on without end	resultant state
だらだらした坂をのぼりました。;だらだら した さか を のぼりました。;I climbed the gently sloping hill.;だらだら	ダラダラ	gently sloping	shape
彼のスピーチはだらだら続いた。;かれ の すぴーち は だらだら つづいた。;His speech droned on and on.;だらだら	ダラダラ	droning on	speech
水が蛇口からだらだら垂れていた。;みず が じゃぐち から だらだら たれて いた。;The water was dripping continuously from the faucet.;だらだら	ダラダラ	dripping	state	liquids
彼の仕事のやり方はいつもだらだらしている。;かれ の しごと の やりかた は いつも だらだら している。;His work attitude is always sluggish.;だらだら	ダラダラ	"sluggish, listless"	work attitude
汗がたらっと流れた。;あせ が たらっと ながれた。;A drop of sweat dripped down.;たらっ	タラッ	a single drop dripping	state	liquids
犬が暑さでだらっと' ダラッ'と舌を出している。;いぬ が あつさ で だらっと' ダラッ'と した を だしている。;The dog is lolling its tongue out 'dara' from the heat.;だらっ	ダラッ	lolling out the tongue	performing an action
